model_id,model_name,revision,dataset,geom_mean,rank_in_ds,count_in_ds,rank_pct,split_used,geom_k_used_recall,geom_k_used_ndcg,geom_time_score,geom_time_source,geom_time_seconds,geom_time_transform,geom_weights_ndcg,geom_weights_recall,geom_weights_time
nomic-ai/nomic-embed-text-v1@0759316f275aa0cb93a5b830973843ca66babcf5,nomic-ai/nomic-embed-text-v1,0759316f275aa0cb93a5b830973843ca66babcf5,ChemHotpotQARetrieval,0.8902344531638842,1.0,42,0.023809523809523808,test,10,10,0.7304264927454632,evaluation_time,73.81263136863708,inverse,1.0,1.0,0.0
BAAI/bge-large-en-v1.5@d4aa6901d3a41ba39fb536a557fa166f842b0e09,BAAI/bge-large-en-v1.5,d4aa6901d3a41ba39fb536a557fa166f842b0e09,ChemHotpotQARetrieval,0.8727706672431195,2.0,42,0.047619047619047616,test,10,10,0.5613140213408168,evaluation_time,156.30679512023926,inverse,1.0,1.0,0.0
nomic-ai/nomic-embed-text-v1.5@b0753ae76394dd36bcfb912a46018088bca48be0,nomic-ai/nomic-embed-text-v1.5,b0753ae76394dd36bcfb912a46018088bca48be0,ChemHotpotQARetrieval,0.8591047498413682,3.0,42,0.07142857142857142,test,10,10,0.7320013225087028,evaluation_time,73.22355008125305,inverse,1.0,1.0,0.0
BAAI/bge-base-en-v1.5@a5beb1e3e68b9ab74eb54cfd186867f64f240e1a,BAAI/bge-base-en-v1.5,a5beb1e3e68b9ab74eb54cfd186867f64f240e1a,ChemHotpotQARetrieval,0.854936529340044,4.0,42,0.09523809523809523,test,10,10,0.788051239665392,evaluation_time,53.79060387611389,inverse,1.0,1.0,0.0
intfloat/e5-small@e272f3049e853b47cb5ca3952268c6662abda68f,intfloat/e5-small,e272f3049e853b47cb5ca3952268c6662abda68f,ChemHotpotQARetrieval,0.8400216887676174,5.0,42,0.11904761904761904,test,10,10,0.8882095691113623,evaluation_time,25.17208433151245,inverse,1.0,1.0,0.0
BAAI/bge-small-en-v1.5@5c38ec7c405ec4b44b94cc5a9bb96e735b38267a,BAAI/bge-small-en-v1.5,5c38ec7c405ec4b44b94cc5a9bb96e735b38267a,ChemHotpotQARetrieval,0.8370907214274925,6.0,42,0.14285714285714285,test,10,10,0.8869792786269519,evaluation_time,25.484410762786865,inverse,1.0,1.0,0.0
intfloat/multilingual-e5-small@fd1525a9fd15316a2d503bf26ab031a61d056e98,intfloat/multilingual-e5-small,fd1525a9fd15316a2d503bf26ab031a61d056e98,ChemHotpotQARetrieval,0.8357197734288689,7.0,42,0.16666666666666666,test,10,10,0.8852581536149273,evaluation_time,25.922799110412598,inverse,1.0,1.0,0.0
BAAI/bge-m3@5617a9f61b028005a4858fdac845db406aefb181,BAAI/bge-m3,5617a9f61b028005a4858fdac845db406aefb181,ChemHotpotQARetrieval,0.8294206638973977,8.0,42,0.19047619047619047,test,10,10,0.5530864178255626,evaluation_time,161.60714411735535,inverse,1.0,1.0,0.0
intfloat/e5-large@4dc6d853a804b9c8886ede6dda8a073b7dc08a81,intfloat/e5-large,4dc6d853a804b9c8886ede6dda8a073b7dc08a81,ChemNQRetrieval,0.7369143954354536,1.0,42,0.023809523809523808,test,10,10,0.5913303892661023,evaluation_time,138.2203986644745,inverse,1.0,1.0,0.0
intfloat/e5-base@b533fe4636f4a2507c08ddab40644d20b0006d6a,intfloat/e5-base,b533fe4636f4a2507c08ddab40644d20b0006d6a,ChemNQRetrieval,0.7303105246400329,2.0,42,0.047619047619047616,test,10,10,0.8060568471630666,evaluation_time,48.12145781517029,inverse,1.0,1.0,0.0
nomic-ai/nomic-embed-text-v1.5@b0753ae76394dd36bcfb912a46018088bca48be0,nomic-ai/nomic-embed-text-v1.5,b0753ae76394dd36bcfb912a46018088bca48be0,ChemNQRetrieval,0.7220939419493837,3.0,42,0.07142857142857142,test,10,10,0.7514190570203783,evaluation_time,66.16306591033936,inverse,1.0,1.0,0.0
intfloat/multilingual-e5-base@d13f1b27baf31030b7fd040960d60d909913633f,intfloat/multilingual-e5-base,d13f1b27baf31030b7fd040960d60d909913633f,ChemNQRetrieval,0.713400245934917,4.0,42,0.09523809523809523,test,10,10,0.7971321295152054,evaluation_time,50.899433851242065,inverse,1.0,1.0,0.0
intfloat/multilingual-e5-small@fd1525a9fd15316a2d503bf26ab031a61d056e98,intfloat/multilingual-e5-small,fd1525a9fd15316a2d503bf26ab031a61d056e98,ChemNQRetrieval,0.7083434201007305,5.0,42,0.11904761904761904,test,10,10,0.8934157192357332,evaluation_time,23.859951972961426,inverse,1.0,1.0,0.0
hkunlp/instructor-xl@ce48b213095e647a6c3536364b9fa00daf57f436,hkunlp/instructor-xl,ce48b213095e647a6c3536364b9fa00daf57f436,ChemNQRetrieval,0.705289670986326,6.0,42,0.14285714285714285,test,10,10,0.2665570342943108,evaluation_time,550.3084678649902,inverse,1.0,1.0,0.0
intfloat/e5-large-v2@b322e09026e4ea05f42beadf4d661fb4e101d311,intfloat/e5-large-v2,b322e09026e4ea05f42beadf4d661fb4e101d311,ChemNQRetrieval,0.6938369964912509,7.0,42,0.16666666666666666,test,10,10,0.591061109233756,evaluation_time,138.3744876384735,inverse,1.0,1.0,0.0
nomic-ai/nomic-embed-text-v1@0759316f275aa0cb93a5b830973843ca66babcf5,nomic-ai/nomic-embed-text-v1,0759316f275aa0cb93a5b830973843ca66babcf5,ChemNQRetrieval,0.6887676397741114,8.0,42,0.19047619047619047,test,10,10,0.7495468275529581,evaluation_time,66.82789206504822,inverse,1.0,1.0,0.0
