o,model_short,chunker,auc,norm_auc,n_points
0,nomic ai nomic embed text v1,fixed_token,166.271264,0.5195977,6
0,nomic ai nomic embed text v1,recursive_token,166.884704,0.5215147,6
0,nomic ai nomic embed text v1,semantic_fixed,167.901856,0.5246933,6
0,nomic ai nomic embed text v1,hierarchical_section,167.91846399999997,0.5247451999999999,6
0,nomic ai nomic embed text v1,semantic_recursive,170.28665600000002,0.5321458000000001,6
16,nomic ai nomic embed text v1,recursive_token,166.615808,0.5206744,6
16,nomic ai nomic embed text v1,fixed_token,168.610048,0.5269064,6
16,nomic ai nomic embed text v1,semantic_fixed,169.163648,0.5286364,6
16,nomic ai nomic embed text v1,hierarchical_section,170.15609600000002,0.5317378,6
16,nomic ai nomic embed text v1,semantic_recursive,170.53984000000003,0.5329370000000001,6
32,nomic ai nomic embed text v1,recursive_token,168.822592,0.5275706,6
32,nomic ai nomic embed text v1,fixed_token,169.642528,0.5301329,6
32,nomic ai nomic embed text v1,semantic_recursive,170.863488,0.5339484,6
32,nomic ai nomic embed text v1,semantic_fixed,171.72851199999997,0.5366515999999999,6
32,nomic ai nomic embed text v1,hierarchical_section,171.735968,0.5366749000000001,6
64,nomic ai nomic embed text v1,recursive_token,99.76713600000002,0.5196205000000002,4
64,nomic ai nomic embed text v1,semantic_recursive,100.82864,0.5251491666666667,4
64,nomic ai nomic embed text v1,fixed_token,100.94163200000001,0.5257376666666668,4
64,nomic ai nomic embed text v1,semantic_fixed,101.06515199999998,0.5263809999999999,4
64,nomic ai nomic embed text v1,hierarchical_section,101.704128,0.529709,4
