fixed,model_short,chunker,auc,norm_auc,n_points,occ,legend_label
0,Intf_e5L_v2,semantic_fixed,201.25315200000003,0.5240967500000001,7,0,"(Intf_e5L_v2,semantic-fixed)"
0,Intf_e5L_v2,fixed_token,199.282016,0.5189635833333334,7,1,"(Intf_e5L_v2,fixed-token)"
0,Intf_e5L_v2,recursive_token,198.12979199999998,0.515963,7,2,"(Intf_e5L_v2,recursive-token)"
16,BAAI_bgeM3,semantic_recursive,160.568384,0.5017762,6,0,"(BAAI_bgeM3,semantic-recursive)"
16,Intf_e5L_v2,recursive_token,160.160416,0.5005013,6,0,"(Intf_e5L_v2,recursive-token)"
16,Nomic_text_v1,recursive_token,160.132512,0.5004141,6,0,"(Nomic_text_v1,recursive-token)"
32,BAAI_bgeM3,semantic_recursive,159.71542399999998,0.49911069999999996,6,0,"(BAAI_bgeM3,semantic-recursive)"
32,Intf_e5L_v2,recursive_token,159.682048,0.4990064,6,0,"(Intf_e5L_v2,recursive-token)"
32,Intf_e5L_v2,semantic_fixed,158.249664,0.4945302,6,1,"(Intf_e5L_v2,semantic-fixed)"
64,Intf_e5L_v2,semantic_fixed,99.60726400000001,0.5187878333333334,4,0,"(Intf_e5L_v2,semantic-fixed)"
64,BAAI_bgeM3,semantic_recursive,98.512704,0.513087,4,0,"(BAAI_bgeM3,semantic-recursive)"
64,Intf_e5L_v2,recursive_token,97.93116799999999,0.5100581666666666,4,1,"(Intf_e5L_v2,recursive-token)"
