model_short,chunker,token_size,overlap,loss_total,ndcg_at_10,map_at_10,mrr_at_10,recall_at_20,precision_at_1,precision_at_10,loss_decay,loss_rob,cost_norm
nomic ai nomic embed text v1,fixed_token,448,0,0.484547,0.45538,0.36977,0.426347,0.77694,0.29832,0.09695,0.6750134084204881,0.0,1.0
nomic ai nomic embed text v1,fixed_token,384,0,0.488359,0.44982,0.35849,0.422243,0.77528,0.28992,0.10305,0.644557119205298,0.0,1.0
nomic ai nomic embed text v1,recursive_token,448,32,0.48959,0.45355,0.36401,0.427975,0.77792,0.30042,0.09968,0.668197856334465,0.07338750000000005,1.0
nomic ai nomic embed text v1,recursive_token,384,16,0.491377,0.44795,0.36194,0.429084,0.75495,0.30567,0.09937,0.6749108515719566,0.0,1.0
nomic ai nomic embed text v1,fixed_token,448,32,0.491993,0.44343,0.35685,0.410935,0.78281,0.27626,0.0979,0.6456236878303048,0.0,1.0
nomic ai nomic embed text v1,semantic_fixed,448,0,0.492134,0.44648,0.35642,0.418199,0.76483,0.28676,0.09958,0.6527409680569117,0.0,1.0
nomic ai nomic embed text v1,recursive_token,448,64,0.492518,0.44388,0.35076,0.421122,0.77553,0.28256,0.10126,0.6416336353340883,0.0,1.0
nomic ai nomic embed text v1,recursive_token,448,0,0.493473,0.44867,0.35609,0.428287,0.7736,0.29727,0.10294,0.6537154775120261,0.08191749999999998,1.0
nomic ai nomic embed text v1,fixed_token,448,16,0.493552,0.44866,0.36223,0.42829,0.76429,0.30462,0.09937,0.6737902961066247,0.06927000000000016,1.0
nomic ai nomic embed text v1,fixed_token,448,48,0.493736,0.44294,0.35152,0.420569,0.76896,0.28571,0.10105,0.646319694795422,0.0,1.0
nomic ai nomic embed text v1,recursive_token,448,16,0.493778,0.44998,0.3599,0.425559,0.7705,0.29412,0.10074,0.6574867401060791,0.09962000000000015,1.0
nomic ai nomic embed text v1,fixed_token,448,64,0.494638,0.44182,0.35064,0.417171,0.76222,0.28256,0.10441,0.6304855605889015,0.0,1.0
nomic ai nomic embed text v1,semantic_fixed,384,16,0.495072,0.44731,0.36109,0.425642,0.7527,0.30147,0.09727,0.6773476631173915,0.05092500000000011,1.0
BAAI bge large en v1.5,fixed_token,448,0,0.4956,0.44267,0.35337,0.413407,0.76632,0.29097,0.09632,0.6689693095508128,0.0,1.0
nomic ai nomic embed text v1,recursive_token,448,48,0.497021,0.45175,0.35973,0.426974,0.77752,0.29412,0.10305,0.6496328029375764,0.20445250000000015,1.0
nomic ai nomic embed text v1,semantic_fixed,448,32,0.497181,0.43769,0.3516,0.407348,0.77229,0.27941,0.09821,0.6485093590064779,0.0,1.0
nomic ai nomic embed text v1,recursive_token,384,0,0.49735,0.44668,0.35975,0.423381,0.76583,0.28992,0.09916,0.6579746136865343,0.12656000000000012,1.0
nomic ai nomic embed text v1,semantic_fixed,384,0,0.498491,0.4367,0.34962,0.403846,0.76157,0.26786,0.09926,0.6294332860449489,0.0,1.0
nomic ai nomic embed text v1,semantic_fixed,448,48,0.499201,0.43735,0.3457,0.41364,0.75849,0.28466,0.10042,0.6472282723248788,0.0,1.0
nomic ai nomic embed text v1,fixed_token,384,16,0.501749,0.43971,0.35184,0.418188,0.76289,0.28676,0.09748,0.6600641651555308,0.10182000000000013,1.0
