model_short,chunker,token_size,overlap,rrf_beta_at_k,rrf_g_at_k,ndcg_at_k,map_at_k,mrr_at_k,recall_at_k,cost_norm,k_request,k_recall_used,k_ndcg_used,k_map_used,k_mrr_used,beta,alpha,gamma,delta
intfloat e5 base,fixed_token,448,0,0.6277,0.5623,0.4583,0.3691,0.4271,0.6672,1.0,10,10,10,10,10,2.0,2.0,1.0,0.5
nomic ai nomic embed text v1,recursive_token,448,32,0.6203,0.5569,0.4536,0.364,0.428,0.659,1.0,10,10,10,10,10,2.0,2.0,1.0,0.5
intfloat e5 base,fixed_token,448,16,0.62,0.558,0.4569,0.3695,0.4315,0.6576,1.0,10,10,10,10,10,2.0,2.0,1.0,0.5
intfloat e5 base,fixed_token,384,0,0.6195,0.5575,0.456,0.3669,0.4312,0.6573,1.0,10,10,10,10,10,2.0,2.0,1.0,0.5
nomic ai nomic embed text v1,fixed_token,384,0,0.6191,0.5544,0.4498,0.3585,0.4222,0.6587,1.0,10,10,10,10,10,2.0,2.0,1.0,0.5
nomic ai nomic embed text v1,recursive_token,448,48,0.618,0.5549,0.4517,0.3597,0.427,0.6566,1.0,10,10,10,10,10,2.0,2.0,1.0,0.5
nomic ai nomic embed text v1,fixed_token,448,0,0.6166,0.5546,0.4554,0.3698,0.4263,0.6537,1.0,10,10,10,10,10,2.0,2.0,1.0,0.5
intfloat e5 base,fixed_token,448,64,0.6162,0.5548,0.4526,0.3615,0.4315,0.654,1.0,10,10,10,10,10,2.0,2.0,1.0,0.5
nomic ai nomic embed text v1,recursive_token,448,0,0.6159,0.5533,0.4487,0.3561,0.4283,0.655,1.0,10,10,10,10,10,2.0,2.0,1.0,0.5
intfloat e5 base,fixed_token,448,32,0.6148,0.5536,0.455,0.3695,0.4276,0.6514,1.0,10,10,10,10,10,2.0,2.0,1.0,0.5
nomic ai nomic embed text v1,semantic_fixed,448,0,0.6144,0.55,0.4465,0.3564,0.4182,0.6538,1.0,10,10,10,10,10,2.0,2.0,1.0,0.5
nomic ai nomic embed text v1,recursive_token,448,16,0.614,0.5518,0.45,0.3599,0.4256,0.652,1.0,10,10,10,10,10,2.0,2.0,1.0,0.5
intfloat e5 base,recursive_token,448,32,0.6139,0.5515,0.4517,0.3648,0.4224,0.6513,1.0,10,10,10,10,10,2.0,2.0,1.0,0.5
intfloat e5 base,recursive_token,448,0,0.6129,0.5528,0.453,0.3634,0.4317,0.6496,1.0,10,10,10,10,10,2.0,2.0,1.0,0.5
BAAI bge large en v1.5,fixed_token,448,0,0.6119,0.5468,0.4427,0.3534,0.4134,0.6518,1.0,10,10,10,10,10,2.0,2.0,1.0,0.5
intfloat e5 base,fixed_token,448,48,0.6116,0.551,0.4513,0.363,0.4283,0.6485,1.0,10,10,10,10,10,2.0,2.0,1.0,0.5
intfloat e5 large,recursive_token,448,32,0.6106,0.5509,0.4525,0.3665,0.4298,0.6468,1.0,10,10,10,10,10,2.0,2.0,1.0,0.5
intfloat e5 base,recursive_token,448,64,0.6102,0.5502,0.4506,0.3613,0.429,0.6469,1.0,10,10,10,10,10,2.0,2.0,1.0,0.5
nomic ai nomic embed text v1,recursive_token,448,64,0.6094,0.5469,0.4439,0.3508,0.4211,0.6481,1.0,10,10,10,10,10,2.0,2.0,1.0,0.5
intfloat e5 large,fixed_token,448,0,0.6091,0.548,0.4502,0.366,0.4217,0.6456,1.0,10,10,10,10,10,2.0,2.0,1.0,0.5
