fixed,model_short,chunker,auc,norm_auc,n_points,occ,legend_label
0,Intf_e5L_v2,recursive_token,287.067808,0.7475724166666667,7,0,"(Intf_e5L_v2,recursive-token)"
0,Intf_e5L_v2,hierarchical_section,286.43248000000006,0.7459179166666668,7,1,"(Intf_e5L_v2,hierarchical-section)"
0,BAAI_bgeM3,semantic_recursive,285.927264,0.7446022499999999,7,0,"(BAAI_bgeM3,semantic-recursive)"
16,Intf_e5L_v2,hierarchical_section,238.36348800000002,0.7448859000000001,6,0,"(Intf_e5L_v2,hierarchical-section)"
16,BAAI_bgeM3,semantic_recursive,236.72227199999998,0.7397571,6,0,"(BAAI_bgeM3,semantic-recursive)"
16,Intf_e5L_v2,recursive_token,236.70959999999997,0.7397174999999999,6,1,"(Intf_e5L_v2,recursive-token)"
32,BAAI_bgeM3,semantic_recursive,236.793632,0.7399801,6,0,"(BAAI_bgeM3,semantic-recursive)"
32,Intf_e5L_v2,recursive_token,236.516864,0.7391152,6,0,"(Intf_e5L_v2,recursive-token)"
32,Intf_e5L_v2,hierarchical_section,236.408992,0.7387781,6,1,"(Intf_e5L_v2,hierarchical-section)"
48,Intf_e5L_v2,recursive_token,190.91712,0.74577,5,0,"(Intf_e5L_v2,recursive-token)"
48,BAAI_bgeM3,semantic_recursive,190.592064,0.74450025,5,0,"(BAAI_bgeM3,semantic-recursive)"
48,BAAI_bgeM3,recursive_token,189.614176,0.740680375,5,1,"(BAAI_bgeM3,recursive-token)"
64,BAAI_bgeM3,semantic_recursive,143.41872,0.7469725,4,0,"(BAAI_bgeM3,semantic-recursive)"
64,BAAI_bgeM3,hierarchical_section,142.57430399999998,0.7425744999999999,4,1,"(BAAI_bgeM3,hierarchical-section)"
64,BAAI_bgeM3,recursive_token,142.45971200000002,0.7419776666666668,4,2,"(BAAI_bgeM3,recursive-token)"
