model_name,chunker,token_size,overlap,RRF@k,RRF-G@k,Recall@k,nDCG@k,MRR@k,MAP@k,k_req,k_recall_used,k_ndcg_used,k_mrr_used,k_map_used,beta,alpha,gamma,delta,rel_path
nomic_ai_nomic_embed_text_v1,recursive_token,448,32,0.6203,0.5569,0.6590,0.4536,0.4280,0.3640,10,10,10,10,10,2.5,2.0,1.0,0.5,nomic_ai_nomic_embed_text_v1_recursive_token_c448_o32/results/nomic-ai__nomic-embed-text-v1_0759316f275aa0cb93a5b830973843ca66babcf5/nomic-ai__nomic-embed-text-v1/0759316f275aa0cb93a5b830973843ca66babcf5
nomic_ai_nomic_embed_text_v1,fixed_token,384,0,0.6191,0.5544,0.6587,0.4498,0.4222,0.3585,10,10,10,10,10,2.5,2.0,1.0,0.5,nomic_ai_nomic_embed_text_v1_fixed_token_c384_o0/results/nomic-ai__nomic-embed-text-v1_0759316f275aa0cb93a5b830973843ca66babcf5/nomic-ai__nomic-embed-text-v1/0759316f275aa0cb93a5b830973843ca66babcf5
nomic_ai_nomic_embed_text_v1,recursive_token,448,48,0.6180,0.5549,0.6566,0.4517,0.4270,0.3597,10,10,10,10,10,2.5,2.0,1.0,0.5,nomic_ai_nomic_embed_text_v1_recursive_token_c448_o48/results/nomic-ai__nomic-embed-text-v1_0759316f275aa0cb93a5b830973843ca66babcf5/nomic-ai__nomic-embed-text-v1/0759316f275aa0cb93a5b830973843ca66babcf5
nomic_ai_nomic_embed_text_v1,fixed_token,448,0,0.6166,0.5546,0.6537,0.4554,0.4263,0.3698,10,10,10,10,10,2.5,2.0,1.0,0.5,nomic_ai_nomic_embed_text_v1_fixed_token_c448_o0/results/nomic-ai__nomic-embed-text-v1_0759316f275aa0cb93a5b830973843ca66babcf5/nomic-ai__nomic-embed-text-v1/0759316f275aa0cb93a5b830973843ca66babcf5
nomic_ai_nomic_embed_text_v1,recursive_token,448,0,0.6159,0.5533,0.6550,0.4487,0.4283,0.3561,10,10,10,10,10,2.5,2.0,1.0,0.5,nomic_ai_nomic_embed_text_v1_recursive_token_c448_o0/results/nomic-ai__nomic-embed-text-v1_0759316f275aa0cb93a5b830973843ca66babcf5/nomic-ai__nomic-embed-text-v1/0759316f275aa0cb93a5b830973843ca66babcf5
nomic_ai_nomic_embed_text_v1,semantic_fixed,448,0,0.6144,0.5500,0.6538,0.4465,0.4182,0.3564,10,10,10,10,10,2.5,2.0,1.0,0.5,nomic_ai_nomic_embed_text_v1_semantic_fixed_c448_o0/results/nomic-ai__nomic-embed-text-v1_0759316f275aa0cb93a5b830973843ca66babcf5/nomic-ai__nomic-embed-text-v1/0759316f275aa0cb93a5b830973843ca66babcf5
nomic_ai_nomic_embed_text_v1,recursive_token,448,16,0.6140,0.5518,0.6520,0.4500,0.4256,0.3599,10,10,10,10,10,2.5,2.0,1.0,0.5,nomic_ai_nomic_embed_text_v1_recursive_token_c448_o16/results/nomic-ai__nomic-embed-text-v1_0759316f275aa0cb93a5b830973843ca66babcf5/nomic-ai__nomic-embed-text-v1/0759316f275aa0cb93a5b830973843ca66babcf5
BAAI_bge_large_en_v1.5,fixed_token,448,0,0.6119,0.5468,0.6518,0.4427,0.4134,0.3534,10,10,10,10,10,2.5,2.0,1.0,0.5,BAAI_bge_large_en_v1.5_fixed_token_c448_o0/results/BAAI__bge-large-en-v1.5_d4aa6901d3a41ba39fb536a557fa166f842b0e09/BAAI__bge-large-en-v1.5/d4aa6901d3a41ba39fb536a557fa166f842b0e09
nomic_ai_nomic_embed_text_v1,recursive_token,448,64,0.6094,0.5469,0.6481,0.4439,0.4211,0.3508,10,10,10,10,10,2.5,2.0,1.0,0.5,nomic_ai_nomic_embed_text_v1_recursive_token_c448_o64/results/nomic-ai__nomic-embed-text-v1_0759316f275aa0cb93a5b830973843ca66babcf5/nomic-ai__nomic-embed-text-v1/0759316f275aa0cb93a5b830973843ca66babcf5
nomic_ai_nomic_embed_text_v1,hierarchical_section,448,16,0.6083,0.5448,0.6469,0.4432,0.4141,0.3550,10,10,10,10,10,2.5,2.0,1.0,0.5,nomic_ai_nomic_embed_text_v1_hierarchical_section_c448_o16/results/nomic-ai__nomic-embed-text-v1_0759316f275aa0cb93a5b830973843ca66babcf5/nomic-ai__nomic-embed-text-v1/0759316f275aa0cb93a5b830973843ca66babcf5
nomic_ai_nomic_embed_text_v1,fixed_token,448,48,0.6070,0.5451,0.6452,0.4429,0.4206,0.3515,10,10,10,10,10,2.5,2.0,1.0,0.5,nomic_ai_nomic_embed_text_v1_fixed_token_c448_o48/results/nomic-ai__nomic-embed-text-v1_0759316f275aa0cb93a5b830973843ca66babcf5/nomic-ai__nomic-embed-text-v1/0759316f275aa0cb93a5b830973843ca66babcf5
nomic_ai_nomic_embed_text_v1,fixed_token,448,32,0.6065,0.5431,0.6444,0.4434,0.4109,0.3569,10,10,10,10,10,2.5,2.0,1.0,0.5,nomic_ai_nomic_embed_text_v1_fixed_token_c448_o32/results/nomic-ai__nomic-embed-text-v1_0759316f275aa0cb93a5b830973843ca66babcf5/nomic-ai__nomic-embed-text-v1/0759316f275aa0cb93a5b830973843ca66babcf5
nomic_ai_nomic_embed_text_v1,semantic_fixed,448,48,0.6060,0.5421,0.6458,0.4374,0.4136,0.3457,10,10,10,10,10,2.5,2.0,1.0,0.5,nomic_ai_nomic_embed_text_v1_semantic_fixed_c448_o48/results/nomic-ai__nomic-embed-text-v1_0759316f275aa0cb93a5b830973843ca66babcf5/nomic-ai__nomic-embed-text-v1/0759316f275aa0cb93a5b830973843ca66babcf5
nomic_ai_nomic_embed_text_v1,fixed_token,448,64,0.6056,0.5434,0.6438,0.4418,0.4172,0.3506,10,10,10,10,10,2.5,2.0,1.0,0.5,nomic_ai_nomic_embed_text_v1_fixed_token_c448_o64/results/nomic-ai__nomic-embed-text-v1_0759316f275aa0cb93a5b830973843ca66babcf5/nomic-ai__nomic-embed-text-v1/0759316f275aa0cb93a5b830973843ca66babcf5
nomic_ai_nomic_embed_text_v1,fixed_token,448,16,0.6045,0.5461,0.6401,0.4487,0.4283,0.3622,10,10,10,10,10,2.5,2.0,1.0,0.5,nomic_ai_nomic_embed_text_v1_fixed_token_c448_o16/results/nomic-ai__nomic-embed-text-v1_0759316f275aa0cb93a5b830973843ca66babcf5/nomic-ai__nomic-embed-text-v1/0759316f275aa0cb93a5b830973843ca66babcf5
nomic_ai_nomic_embed_text_v1,hierarchical_section,448,0,0.6043,0.5378,0.6449,0.4338,0.3997,0.3446,10,10,10,10,10,2.5,2.0,1.0,0.5,nomic_ai_nomic_embed_text_v1_hierarchical_section_c448_o0/results/nomic-ai__nomic-embed-text-v1_0759316f275aa0cb93a5b830973843ca66babcf5/nomic-ai__nomic-embed-text-v1/0759316f275aa0cb93a5b830973843ca66babcf5
nomic_ai_nomic_embed_text_v1,semantic_fixed,384,16,0.6035,0.5446,0.6391,0.4473,0.4256,0.3611,10,10,10,10,10,2.5,2.0,1.0,0.5,nomic_ai_nomic_embed_text_v1_semantic_fixed_c384_o16/results/nomic-ai__nomic-embed-text-v1_0759316f275aa0cb93a5b830973843ca66babcf5/nomic-ai__nomic-embed-text-v1/0759316f275aa0cb93a5b830973843ca66babcf5
nomic_ai_nomic_embed_text_v1,recursive_token,384,0,0.6032,0.5439,0.6390,0.4467,0.4234,0.3598,10,10,10,10,10,2.5,2.0,1.0,0.5,nomic_ai_nomic_embed_text_v1_recursive_token_c384_o0/results/nomic-ai__nomic-embed-text-v1_0759316f275aa0cb93a5b830973843ca66babcf5/nomic-ai__nomic-embed-text-v1/0759316f275aa0cb93a5b830973843ca66babcf5
nomic_ai_nomic_embed_text_v1,recursive_token,384,16,0.6005,0.5435,0.6351,0.4480,0.4291,0.3619,10,10,10,10,10,2.5,2.0,1.0,0.5,nomic_ai_nomic_embed_text_v1_recursive_token_c384_o16/results/nomic-ai__nomic-embed-text-v1_0759316f275aa0cb93a5b830973843ca66babcf5/nomic-ai__nomic-embed-text-v1/0759316f275aa0cb93a5b830973843ca66babcf5
nomic_ai_nomic_embed_text_v1,semantic_fixed,384,0,0.6004,0.5367,0.6387,0.4367,0.4038,0.3496,10,10,10,10,10,2.5,2.0,1.0,0.5,nomic_ai_nomic_embed_text_v1_semantic_fixed_c384_o0/results/nomic-ai__nomic-embed-text-v1_0759316f275aa0cb93a5b830973843ca66babcf5/nomic-ai__nomic-embed-text-v1/0759316f275aa0cb93a5b830973843ca66babcf5
nomic_ai_nomic_embed_text_v1,semantic_fixed,448,32,0.6000,0.5372,0.6378,0.4377,0.4073,0.3516,10,10,10,10,10,2.5,2.0,1.0,0.5,nomic_ai_nomic_embed_text_v1_semantic_fixed_c448_o32/results/nomic-ai__nomic-embed-text-v1_0759316f275aa0cb93a5b830973843ca66babcf5/nomic-ai__nomic-embed-text-v1/0759316f275aa0cb93a5b830973843ca66babcf5
nomic_ai_nomic_embed_text_v1,hierarchical_section,448,32,0.5990,0.5359,0.6375,0.4347,0.4068,0.3457,10,10,10,10,10,2.5,2.0,1.0,0.5,nomic_ai_nomic_embed_text_v1_hierarchical_section_c448_o32/results/nomic-ai__nomic-embed-text-v1_0759316f275aa0cb93a5b830973843ca66babcf5/nomic-ai__nomic-embed-text-v1/0759316f275aa0cb93a5b830973843ca66babcf5
nomic_ai_nomic_embed_text_v1,fixed_token,384,16,0.5984,0.5386,0.6351,0.4397,0.4182,0.3518,10,10,10,10,10,2.5,2.0,1.0,0.5,nomic_ai_nomic_embed_text_v1_fixed_token_c384_o16/results/nomic-ai__nomic-embed-text-v1_0759316f275aa0cb93a5b830973843ca66babcf5/nomic-ai__nomic-embed-text-v1/0759316f275aa0cb93a5b830973843ca66babcf5
