,ndcg_at_1,ndcg_at_10,ndcg_at_100,map_at_1,map_at_10,map_at_100,recall_at_1,recall_at_10,recall_at_100,precision_at_1,precision_at_10,precision_at_100,mrr_at_1,mrr_at_10,mrr_at_100
ndcg_at_1,1.0,0.943167439911535,0.9361471509463901,0.9901055527846866,0.977350076072819,0.9760471304512462,0.9901055527846866,0.8183926827610639,0.7446397596624638,1.0,0.6346299283706945,0.4997779750359189,0.9999999999410218,0.9621566670388164,0.9621075471344351
ndcg_at_10,0.943167439911535,1.0,0.9966896668629823,0.9003593701243422,0.9902515098530426,0.9911180778003623,0.9003593701243422,0.9600241783965634,0.8921789181892236,0.9431674399115347,0.8454821686787848,0.723583897736191,0.943167192131069,0.9971966013282345,0.9967966348053736
ndcg_at_100,0.9361471509463901,0.9966896668629823,1.0,0.8906859610919955,0.9845737214433494,0.9870003309619854,0.8906859610919955,0.9605985345357398,0.918672385796405,0.93614715094639,0.8515701705003105,0.7545818421617629,0.9361469266048943,0.9941096561625548,0.9949397686512855
map_at_1,0.9901055527846866,0.9003593701243422,0.8906859610919955,1.0,0.9503660107225775,0.9477859479435962,1.0,0.748986458820938,0.6703367747208306,0.9901055527846866,0.5361259955914401,0.3926569901889222,0.9901055765707091,0.9233990250346868,0.9232512046430702
map_at_10,0.977350076072819,0.9902515098530426,0.9845737214433494,0.9503660107225775,1.0,0.9997748980285476,0.9503660107225775,0.9121726421318765,0.837929355491526,0.977350076072819,0.7640316447826944,0.6304261679708297,0.9773498645773284,0.9957504756902541,0.9954810433182405
map_at_100,0.9760471304512462,0.9911180778003623,0.9870003309619854,0.9477859479435962,0.9997748980285476,1.0,0.9477859479435962,0.9148345629315172,0.8460705271214608,0.9760471304512462,0.7690750331658458,0.6410309680065559,0.9760469055464919,0.9964978970242296,0.9965249612082347
recall_at_1,0.9901055527846866,0.9003593701243422,0.8906859610919955,1.0,0.9503660107225775,0.9477859479435962,1.0,0.748986458820938,0.6703367747208306,0.9901055527846866,0.5361259955914401,0.3926569901889222,0.9901055765707091,0.9233990250346868,0.9232512046430702
recall_at_10,0.8183926827610639,0.9600241783965634,0.9605985345357398,0.748986458820938,0.9121726421318765,0.9148345629315172,0.748986458820938,1.0,0.9456233705196948,0.8183926827610639,0.954687216479702,0.8590527268203316,0.818392386450958,0.9391568399948371,0.9383306380337006
recall_at_100,0.7446397596624638,0.8921789181892236,0.918672385796405,0.6703367747208306,0.837929355491526,0.8460705271214608,0.6703367747208306,0.9456233705196948,1.0,0.7446397596624638,0.9218228599759621,0.9308553855848659,0.7446396542329096,0.8728006864560772,0.8765990472837055
precision_at_1,1.0,0.9431674399115347,0.93614715094639,0.9901055527846866,0.977350076072819,0.9760471304512462,0.9901055527846866,0.8183926827610639,0.7446397596624638,1.0,0.6346299283706945,0.4997779750359189,0.9999999999410218,0.9621566670388164,0.9621075471344351
precision_at_10,0.6346299283706945,0.8454821686787848,0.8515701705003105,0.5361259955914401,0.7640316447826944,0.7690750331658458,0.5361259955914401,0.954687216479702,0.9218228599759621,0.6346299283706945,1.0,0.9437042248843754,0.6346295297645469,0.8133690446081617,0.8125661931820556
precision_at_100,0.4997779750359189,0.723583897736191,0.7545818421617629,0.3926569901889222,0.6304261679708297,0.6410309680065559,0.3926569901889222,0.8590527268203316,0.9308553855848659,0.4997779750359189,0.9437042248843754,1.0,0.4997777698486311,0.6920046821121594,0.6952829270477568
mrr_at_1,0.9999999999410218,0.943167192131069,0.9361469266048943,0.9901055765707091,0.9773498645773284,0.9760469055464919,0.9901055765707091,0.818392386450958,0.7446396542329096,0.9999999999410218,0.6346295297645469,0.4997777698486311,1.0,0.9621564709270325,0.9621073540217832
mrr_at_10,0.9621566670388164,0.9971966013282345,0.9941096561625548,0.9233990250346868,0.9957504756902541,0.9964978970242296,0.9233990250346868,0.9391568399948371,0.8728006864560772,0.9621566670388164,0.8133690446081617,0.6920046821121594,0.9621564709270325,1.0,0.9998523163432352
mrr_at_100,0.9621075471344351,0.9967966348053736,0.9949397686512855,0.9232512046430702,0.9954810433182405,0.9965249612082347,0.9232512046430702,0.9383306380337006,0.8765990472837055,0.9621075471344351,0.8125661931820556,0.6952829270477568,0.9621073540217832,0.9998523163432352,1.0
