,ndcg_at_1,ndcg_at_10,ndcg_at_100,map_at_1,map_at_10,map_at_100,recall_at_1,recall_at_10,recall_at_100,precision_at_1,precision_at_10,precision_at_100,mrr_at_1,mrr_at_10,mrr_at_100
ndcg_at_1,1.0,0.9628265477275961,0.9740981353506952,0.9942272473394077,0.9849888974194881,0.9867282427360028,0.9942272473394077,0.7519951393251872,0.6134833959664602,1.0,0.4833312294354058,0.37838935026537995,1.0,0.9798784223880723,0.9830654233335551
ndcg_at_10,0.9628265477275961,1.0,0.9943994365754949,0.9579760998490546,0.9888513158037981,0.9867911237881226,0.9579760998490546,0.8613505283454533,0.6594822299679559,0.9628265477275961,0.5938847414191961,0.4362029005708875,0.9628265477275961,0.9930078553091806,0.9913525890935148
ndcg_at_100,0.9740981353506952,0.9943994365754949,1.0,0.9706693347915221,0.9921802080865962,0.9919867561332135,0.9706693347915221,0.8338068283549124,0.6753380297632869,0.9740981353506952,0.5707035622479804,0.44128712911002843,0.9740981353506952,0.995191884940822,0.9953857804547296
map_at_1,0.9942272473394077,0.9579760998490546,0.9706693347915221,1.0,0.9828672005603436,0.9848524376851855,1.0,0.7383818138550408,0.5884381723479406,0.9942272473394077,0.4596845086256014,0.34584732401166185,0.9942272473394077,0.9743993781769397,0.9775756591483246
map_at_10,0.9849888974194881,0.9888513158037981,0.9921802080865962,0.9828672005603436,1.0,0.9990841690623652,0.9828672005603436,0.80665930253983,0.6270945217336475,0.9849888974194881,0.5283410117399875,0.38955818150241595,0.9849888974194881,0.9946281064515561,0.995244721376861
map_at_100,0.9867282427360028,0.9867911237881226,0.9919867561332135,0.9848524376851855,0.9990841690623652,1.0,0.9848524376851855,0.8004958083494869,0.6262410301795529,0.9867282427360028,0.5249795379729196,0.3908107959119396,0.9867282427360028,0.99418799265608,0.9957203994293866
recall_at_1,0.9942272473394077,0.9579760998490546,0.9706693347915221,1.0,0.9828672005603436,0.9848524376851855,1.0,0.7383818138550408,0.5884381723479406,0.9942272473394077,0.4596845086256014,0.34584732401166185,0.9942272473394077,0.9743993781769397,0.9775756591483246
recall_at_10,0.7519951393251872,0.8613505283454533,0.8338068283549124,0.7383818138550408,0.80665930253983,0.8004958083494869,0.7383818138550408,1.0,0.7645134129655833,0.7519951393251872,0.8469938047136695,0.6581578653500872,0.7519951393251872,0.823637149709963,0.8152958090346177
recall_at_100,0.6134833959664602,0.6594822299679559,0.6753380297632869,0.5884381723479406,0.6270945217336475,0.6262410301795529,0.5884381723479406,0.7645134129655833,1.0,0.6134833959664602,0.8107484415418738,0.8784818000000791,0.6134833959664602,0.6466420250910252,0.6450625785697864
precision_at_1,1.0,0.9628265477275961,0.9740981353506952,0.9942272473394077,0.9849888974194881,0.9867282427360028,0.9942272473394077,0.7519951393251872,0.6134833959664602,1.0,0.4833312294354058,0.37838935026537995,1.0,0.9798784223880723,0.9830654233335551
precision_at_10,0.4833312294354058,0.5938847414191961,0.5707035622479804,0.4596845086256014,0.5283410117399875,0.5249795379729196,0.4596845086256014,0.8469938047136695,0.8107484415418738,0.4833312294354058,1.0,0.8976344345787901,0.4833312294354058,0.5603418997446733,0.5524721659947878
precision_at_100,0.37838935026537995,0.4362029005708875,0.44128712911002843,0.34584732401166185,0.38955818150241595,0.3908107959119396,0.34584732401166185,0.6581578653500872,0.8784818000000791,0.37838935026537995,0.8976344345787901,1.0,0.37838935026537995,0.41993360632574195,0.4163589049078144
mrr_at_1,1.0,0.9628265477275961,0.9740981353506952,0.9942272473394077,0.9849888974194881,0.9867282427360028,0.9942272473394077,0.7519951393251872,0.6134833959664602,1.0,0.4833312294354058,0.37838935026537995,1.0,0.9798784223880723,0.9830654233335551
mrr_at_10,0.9798784223880723,0.9930078553091806,0.995191884940822,0.9743993781769397,0.9946281064515561,0.99418799265608,0.9743993781769397,0.823637149709963,0.6466420250910252,0.9798784223880723,0.5603418997446733,0.41993360632574195,0.9798784223880723,1.0,0.999225066225136
mrr_at_100,0.9830654233335551,0.9913525890935148,0.9953857804547296,0.9775756591483246,0.995244721376861,0.9957203994293866,0.9775756591483246,0.8152958090346177,0.6450625785697864,0.9830654233335551,0.5524721659947878,0.4163589049078144,0.9830654233335551,0.999225066225136,1.0
