,,corr
ndcg_at_1,mrr_at_1,1.0
precision_at_1,mrr_at_1,1.0
map_at_1,recall_at_1,1.0
ndcg_at_1,precision_at_1,1.0
mrr_at_10,mrr_at_100,0.999225066225136
map_at_10,map_at_100,0.9990841690623652
map_at_100,mrr_at_100,0.9957203994293866
ndcg_at_100,mrr_at_100,0.9953857804547296
map_at_10,mrr_at_100,0.995244721376861
ndcg_at_100,mrr_at_10,0.995191884940822
map_at_10,mrr_at_10,0.9946281064515561
ndcg_at_10,ndcg_at_100,0.9943994365754949
recall_at_1,mrr_at_1,0.9942272473394077
ndcg_at_1,recall_at_1,0.9942272473394077
map_at_1,precision_at_1,0.9942272473394077
map_at_1,mrr_at_1,0.9942272473394077
ndcg_at_1,map_at_1,0.9942272473394077
recall_at_1,precision_at_1,0.9942272473394077
map_at_100,mrr_at_10,0.99418799265608
ndcg_at_10,mrr_at_10,0.9930078553091806
