,ndcg_at_1,ndcg_at_10,ndcg_at_100,map_at_1,map_at_10,map_at_100,recall_at_1,recall_at_10,recall_at_100,precision_at_1,precision_at_10,precision_at_100,mrr_at_1,mrr_at_10,mrr_at_100
ndcg_at_1,1.0,0.9662680839180233,0.977066928385351,0.9940527540961202,0.986504488215071,0.9875301383563224,0.9940527540961202,0.7696070086338893,0.6414165429099683,1.0,0.5168410525622866,0.40807220395502186,1.0,0.9820287729077443,0.9849929875389193
ndcg_at_10,0.9662680839180233,1.0,0.9942085335047747,0.9606879273620558,0.9893683807540901,0.9878500700646363,0.9606879273620558,0.8670632756534317,0.6886569756257128,0.9662680839180232,0.6203047266102232,0.466902270010204,0.9662680839180232,0.9937020313493363,0.9920012961959369
ndcg_at_100,0.977066928385351,0.9942085335047747,1.0,0.9729917580386165,0.9927098951076372,0.9926291916410174,0.9729917580386165,0.8413556996103472,0.7024496451752439,0.977066928385351,0.5970487028712912,0.470150041422696,0.977066928385351,0.995403184162537,0.995727361088612
map_at_1,0.9940527540961202,0.9606879273620558,0.9729917580386165,1.0,0.983681348766883,0.9852237587494874,1.0,0.7544582732975647,0.6150314682820528,0.9940527540961202,0.49159086016593595,0.3737590077109885,0.9940527540961202,0.9761045041526918,0.9790671879107659
map_at_10,0.986504488215071,0.9893683807540901,0.9927098951076372,0.983681348766883,1.0,0.9992507399552514,0.983681348766883,0.8165297492038335,0.6565117972620386,0.986504488215071,0.5581699459816344,0.42080993089001995,0.986504488215071,0.9956055083029567,0.9960511935592048
map_at_100,0.9875301383563224,0.9878500700646363,0.9926291916410174,0.9852237587494874,0.9992507399552514,1.0,0.9852237587494874,0.8123416868428347,0.6554786881800835,0.9875301383563224,0.5559365745728878,0.42187184430936087,0.9875301383563224,0.9947551747658695,0.9960918516118581
recall_at_1,0.9940527540961202,0.9606879273620558,0.9729917580386165,1.0,0.983681348766883,0.9852237587494874,1.0,0.7544582732975647,0.6150314682820528,0.9940527540961202,0.49159086016593595,0.3737590077109885,0.9940527540961202,0.9761045041526918,0.9790671879107659
recall_at_10,0.7696070086338893,0.8670632756534317,0.8413556996103472,0.7544582732975647,0.8165297492038335,0.8123416868428347,0.7544582732975647,1.0,0.7935126971615964,0.7696070086338893,0.8615570938929418,0.6901587941548272,0.7696070086338893,0.8332517401207659,0.8254045797723919
recall_at_100,0.6414165429099683,0.6886569756257128,0.7024496451752439,0.6150314682820528,0.6565117972620386,0.6554786881800835,0.6150314682820528,0.7935126971615964,1.0,0.6414165429099683,0.8181441779857553,0.8764264609711929,0.6414165429099683,0.6733691567556261,0.6723251980807289
precision_at_1,1.0,0.9662680839180232,0.977066928385351,0.9940527540961202,0.986504488215071,0.9875301383563224,0.9940527540961202,0.7696070086338893,0.6414165429099683,1.0,0.5168410525622866,0.40807220395502186,1.0,0.9820287729077443,0.9849929875389193
precision_at_10,0.5168410525622866,0.6203047266102232,0.5970487028712912,0.49159086016593595,0.5581699459816344,0.5559365745728878,0.49159086016593595,0.8615570938929418,0.8181441779857553,0.5168410525622866,1.0,0.9043188131911516,0.5168410525622865,0.5875702634604806,0.5802245734072919
precision_at_100,0.40807220395502186,0.466902270010204,0.470150041422696,0.3737590077109885,0.42080993089001995,0.42187184430936087,0.3737590077109885,0.6901587941548272,0.8764264609711929,0.40807220395502186,0.9043188131911516,1.0,0.40807220395502186,0.44784600192156027,0.4447945725191921
mrr_at_1,1.0,0.9662680839180232,0.977066928385351,0.9940527540961202,0.986504488215071,0.9875301383563224,0.9940527540961202,0.7696070086338893,0.6414165429099683,1.0,0.5168410525622865,0.40807220395502186,1.0,0.9820287729077443,0.9849929875389193
mrr_at_10,0.9820287729077443,0.9937020313493363,0.995403184162537,0.9761045041526918,0.9956055083029567,0.9947551747658695,0.9761045041526918,0.8332517401207659,0.6733691567556261,0.9820287729077443,0.5875702634604806,0.44784600192156027,0.9820287729077443,1.0,0.9991899890743144
mrr_at_100,0.9849929875389193,0.9920012961959369,0.995727361088612,0.9790671879107659,0.9960511935592048,0.9960918516118581,0.9790671879107659,0.8254045797723919,0.6723251980807289,0.9849929875389193,0.5802245734072919,0.4447945725191921,0.9849929875389193,0.9991899890743144,1.0
