,,corr
precision_at_1,mrr_at_1,1.0
map_at_1,recall_at_1,1.0
ndcg_at_1,precision_at_1,1.0
ndcg_at_1,mrr_at_1,1.0
map_at_10,map_at_100,0.9992507399552514
mrr_at_10,mrr_at_100,0.9991899890743144
map_at_100,mrr_at_100,0.9960918516118581
map_at_10,mrr_at_100,0.9960511935592048
ndcg_at_100,mrr_at_100,0.995727361088612
map_at_10,mrr_at_10,0.9956055083029567
ndcg_at_100,mrr_at_10,0.995403184162537
map_at_100,mrr_at_10,0.9947551747658695
ndcg_at_10,ndcg_at_100,0.9942085335047747
recall_at_1,mrr_at_1,0.9940527540961202
ndcg_at_1,recall_at_1,0.9940527540961202
map_at_1,precision_at_1,0.9940527540961202
map_at_1,mrr_at_1,0.9940527540961202
ndcg_at_1,map_at_1,0.9940527540961202
recall_at_1,precision_at_1,0.9940527540961202
ndcg_at_10,mrr_at_10,0.9937020313493363
