model_name,chunker,token_size,overlap,ndcg_at_10,recall_at_10,geom_at_10,n_tied_maxima
BAAI_bge_base_en_v1.5,fixed_token,384,16,0.562890000000,0.816810000000,0.678066501827,1
BAAI_bge_base_en_v1.5,hierarchical_section,512,0,0.563830000000,0.817750000000,0.679022814418,1
BAAI_bge_base_en_v1.5,recursive_token,256,16,0.562630000000,0.797970000000,0.670046163410,1
BAAI_bge_base_en_v1.5,semantic_fixed,384,16,0.547440000000,0.800420000000,0.661953113747,1
BAAI_bge_base_en_v1.5,semantic_recursive,448,0,0.544750000000,0.796390000000,0.658660346840,1
BAAI_bge_large_en_v1.5,fixed_token,384,16,0.616520000000,0.855040000000,0.726050453343,1
BAAI_bge_large_en_v1.5,hierarchical_section,384,0,0.619130000000,0.847160000000,0.724225221047,1
BAAI_bge_large_en_v1.5,recursive_token,448,0,0.619810000000,0.862920000000,0.731331966483,1
BAAI_bge_large_en_v1.5,semantic_fixed,320,16,0.613110000000,0.840860000000,0.718010915377,1
BAAI_bge_large_en_v1.5,semantic_recursive,448,32,0.606130000000,0.844540000000,0.715472592207,1
BAAI_bge_m3,fixed_token,384,0,0.643370000000,0.871240000000,0.748685300243,1
BAAI_bge_m3,hierarchical_section,448,0,0.653240000000,0.870450000000,0.754064160400,1
BAAI_bge_m3,recursive_token,384,48,0.647360000000,0.879380000000,0.754503437235,1
BAAI_bge_m3,semantic_fixed,448,32,0.639160000000,0.868080000000,0.744877179675,1
BAAI_bge_m3,semantic_recursive,320,0,0.651550000000,0.877280000000,0.756036893280,1
BAAI_bge_small_en_v1.5,fixed_token,512,0,0.600310000000,0.815830000000,0.699822054025,1
BAAI_bge_small_en_v1.5,hierarchical_section,384,16,0.595430000000,0.830880000000,0.703371081578,1
BAAI_bge_small_en_v1.5,recursive_token,512,0,0.592100000000,0.824230000000,0.698588994331,1
BAAI_bge_small_en_v1.5,semantic_fixed,448,0,0.572490000000,0.812150000000,0.681870774781,1
BAAI_bge_small_en_v1.5,semantic_recursive,512,0,0.580510000000,0.824490000000,0.691827066470,1
hkunlp_instructor_xl,fixed_token,448,48,0.592620000000,0.825370000000,0.699378845405,1
hkunlp_instructor_xl,hierarchical_section,448,48,0.612280000000,0.842090000000,0.718049347329,1
hkunlp_instructor_xl,recursive_token,448,0,0.613800000000,0.831500000000,0.714405137160,1
hkunlp_instructor_xl,semantic_fixed,448,48,0.584340000000,0.823700000000,0.693772915297,1
hkunlp_instructor_xl,semantic_recursive,448,0,0.597560000000,0.833160000000,0.705594139431,1
intfloat_e5_base,fixed_token,512,0,0.643180000000,0.877590000000,0.751297767999,1
intfloat_e5_base,hierarchical_section,256,0,0.591480000000,0.834210000000,0.702437563631,1
intfloat_e5_base,recursive_token,384,0,0.632190000000,0.869660000000,0.741478492878,1
intfloat_e5_base,semantic_fixed,384,48,0.577400000000,0.826330000000,0.690740864579,1
intfloat_e5_base,semantic_recursive,256,0,0.573730000000,0.817750000000,0.684958179380,1
intfloat_e5_large,fixed_token,512,0,0.645390000000,0.867300000000,0.748162246441,1
intfloat_e5_large,hierarchical_section,512,0,0.624440000000,0.868170000000,0.736288037931,1
intfloat_e5_large,recursive_token,448,32,0.643100000000,0.871320000000,0.748562550493,1
intfloat_e5_large,semantic_fixed,448,48,0.615150000000,0.846460000000,0.721595363760,1
intfloat_e5_large,semantic_recursive,448,48,0.597990000000,0.843490000000,0.710210240070,1
intfloat_e5_large_v2,fixed_token,512,0,0.667390000000,0.886340000000,0.769112769755,1
intfloat_e5_large_v2,hierarchical_section,384,16,0.669280000000,0.895830000000,0.774313310230,1
intfloat_e5_large_v2,recursive_token,448,0,0.662800000000,0.887610000000,0.767012325846,1
intfloat_e5_large_v2,semantic_fixed,512,0,0.660400000000,0.887250000000,0.765467112292,1
intfloat_e5_large_v2,semantic_recursive,512,0,0.642800000000,0.886200000000,0.754751190791,1
intfloat_e5_small,fixed_token,384,16,0.609150000000,0.846950000000,0.718275429414,1
intfloat_e5_small,hierarchical_section,256,16,0.611460000000,0.849260000000,0.720616763335,1
intfloat_e5_small,recursive_token,320,0,0.625610000000,0.858370000000,0.732806151516,1
intfloat_e5_small,semantic_fixed,320,16,0.602970000000,0.838240000000,0.710938515485,1
intfloat_e5_small,semantic_recursive,320,32,0.594890000000,0.833160000000,0.704016017147,1
intfloat_multilingual_e5_base,fixed_token,320,32,0.618760000000,0.848210000000,0.724457327660,1
intfloat_multilingual_e5_base,hierarchical_section,512,0,0.628270000000,0.860640000000,0.735332776911,1
intfloat_multilingual_e5_base,recursive_token,320,0,0.639450000000,0.850840000000,0.737610763208,1
intfloat_multilingual_e5_base,semantic_fixed,320,64,0.616720000000,0.851440000000,0.724637893572,1
intfloat_multilingual_e5_base,semantic_recursive,384,32,0.615370000000,0.851890000000,0.724035599470,1
intfloat_multilingual_e5_small,fixed_token,384,16,0.626250000000,0.858460000000,0.733219322577,1
intfloat_multilingual_e5_small,hierarchical_section,384,32,0.630950000000,0.861690000000,0.737348835694,1
intfloat_multilingual_e5_small,recursive_token,384,48,0.635420000000,0.863620000000,0.740784327858,1
intfloat_multilingual_e5_small,semantic_fixed,384,16,0.622260000000,0.850840000000,0.727628819110,1
intfloat_multilingual_e5_small,semantic_recursive,320,32,0.618050000000,0.845760000000,0.722995136913,1
nomic_ai_nomic_embed_text_v1,fixed_token,448,0,0.616290000000,0.879200000000,0.736099292215,1
nomic_ai_nomic_embed_text_v1,hierarchical_section,256,0,0.620500000000,0.853120000000,0.727571962077,1
nomic_ai_nomic_embed_text_v1,recursive_token,320,0,0.633960000000,0.862040000000,0.739255624531,1
nomic_ai_nomic_embed_text_v1,semantic_fixed,320,16,0.615730000000,0.856790000000,0.726327272447,1
nomic_ai_nomic_embed_text_v1,semantic_recursive,384,0,0.622180000000,0.863270000000,0.732877430816,1
nomic_ai_nomic_embed_text_v1.5,fixed_token,384,16,0.585620000000,0.816280000000,0.691397059294,1
nomic_ai_nomic_embed_text_v1.5,hierarchical_section,384,16,0.576150000000,0.814950000000,0.685225103524,1
nomic_ai_nomic_embed_text_v1.5,recursive_token,320,0,0.596740000000,0.831060000000,0.704220664565,1
nomic_ai_nomic_embed_text_v1.5,semantic_fixed,320,0,0.564240000000,0.804100000000,0.673576561350,1
nomic_ai_nomic_embed_text_v1.5,semantic_recursive,384,0,0.558850000000,0.820900000000,0.677318215464,1
