model_name,fixed_token,recursive_token,hierarchical_section,semantic_fixed,semantic_recursive
intfloat_e5_large_v2,"512,0","448,0","384,16","512,0","512,0"
BAAI_bge_m3,"384,0","384,48","448,0","448,32","320,0"
intfloat_e5_large,"512,0","448,32","512,0","448,48","448,48"
nomic_ai_nomic_embed_text_v1,"448,0","320,0","256,0","320,16","384,0"
intfloat_multilingual_e5_base,"320,32","320,0","512,0","320,64","384,32"
intfloat_multilingual_e5_small,"384,16","384,48","384,32","384,16","320,32"
BAAI_bge_large_en_v1.5,"384,16","448,0","384,0","320,16","448,32"
intfloat_e5_small,"384,16","320,0","256,16","320,16","320,32"
intfloat_e5_base,"512,0","384,0","256,0","384,48","256,0"
hkunlp_instructor_xl,"448,48","448,0","448,48","448,48","448,0"
nomic_ai_nomic_embed_text_v1.5,"384,16","320,0","384,16","320,0","384,0"
BAAI_bge_small_en_v1.5,"512,0","512,0","384,16","448,0","512,0"
BAAI_bge_base_en_v1.5,"384,16","256,16","512,0","384,16","448,0"
