model_name,chunker,n,mean_geom_at_10,max_geom_at_10,max_chunk_size,max_overlap,n_tied_maxima,max_minus_mean
intfloat_e5_large_v2,fixed_token,28,0.730416727861,0.769112769755,512,0,1,0.038696041894
intfloat_e5_large_v2,recursive_token,28,0.740920857751,0.767012325846,448,0,1,0.026091468095
intfloat_e5_large_v2,hierarchical_section,28,0.740344324347,0.774313310230,384,16,1,0.033968985883
intfloat_e5_large_v2,semantic_fixed,28,0.727654472519,0.765467112292,512,0,1,0.037812639772
intfloat_e5_large_v2,semantic_recursive,28,0.733926791565,0.754751190791,512,0,1,0.020824399226
BAAI_bge_m3,fixed_token,28,0.722433346791,0.748685300243,384,0,1,0.026251953452
BAAI_bge_m3,recursive_token,28,0.736566824584,0.754503437235,384,48,1,0.017936612651
BAAI_bge_m3,hierarchical_section,28,0.733906822833,0.754064160400,448,0,1,0.020157337567
BAAI_bge_m3,semantic_fixed,28,0.722474857576,0.744877179675,448,32,1,0.022402322098
BAAI_bge_m3,semantic_recursive,28,0.740823291281,0.756036893280,320,0,1,0.015213601999
intfloat_e5_large,fixed_token,28,0.717897594243,0.748162246441,512,0,1,0.030264652198
intfloat_e5_large,recursive_token,28,0.723467146433,0.748562550493,448,32,1,0.025095404059
intfloat_e5_large,hierarchical_section,28,0.713937035036,0.736288037931,512,0,1,0.022351002895
intfloat_e5_large,semantic_fixed,28,0.700843218528,0.721595363760,448,48,1,0.020752145232
intfloat_e5_large,semantic_recursive,28,0.701137443310,0.710210240070,448,48,1,0.009072796760
nomic_ai_nomic_embed_text_v1,fixed_token,28,0.710866924612,0.736099292215,448,0,1,0.025232367603
nomic_ai_nomic_embed_text_v1,recursive_token,28,0.719377172043,0.739255624531,320,0,1,0.019878452487
nomic_ai_nomic_embed_text_v1,hierarchical_section,28,0.708386379921,0.727571962077,256,0,1,0.019185582156
nomic_ai_nomic_embed_text_v1,semantic_fixed,28,0.700341973311,0.726327272447,320,16,1,0.025985299136
nomic_ai_nomic_embed_text_v1,semantic_recursive,28,0.713671734345,0.732877430816,384,0,1,0.019205696471
intfloat_multilingual_e5_base,fixed_token,28,0.700664347998,0.724457327660,320,32,1,0.023792979662
intfloat_multilingual_e5_base,recursive_token,28,0.708869805571,0.737610763208,320,0,1,0.028740957637
intfloat_multilingual_e5_base,hierarchical_section,28,0.712007214112,0.735332776911,512,0,1,0.023325562799
intfloat_multilingual_e5_base,semantic_fixed,28,0.696429698137,0.724637893572,320,64,1,0.028208195435
intfloat_multilingual_e5_base,semantic_recursive,28,0.705554729184,0.724035599470,384,32,1,0.018480870286
intfloat_multilingual_e5_small,fixed_token,28,0.699298280992,0.733219322577,384,16,1,0.033921041585
intfloat_multilingual_e5_small,recursive_token,28,0.714560466312,0.740784327858,384,48,1,0.026223861546
intfloat_multilingual_e5_small,hierarchical_section,28,0.705510799744,0.737348835694,384,32,1,0.031838035951
intfloat_multilingual_e5_small,semantic_fixed,28,0.693815362084,0.727628819110,384,16,1,0.033813457027
intfloat_multilingual_e5_small,semantic_recursive,28,0.703934677014,0.722995136913,320,32,1,0.019060459899
BAAI_bge_large_en_v1.5,fixed_token,28,0.694335866691,0.726050453343,384,16,1,0.031714586652
BAAI_bge_large_en_v1.5,recursive_token,28,0.702018328088,0.731331966483,448,0,1,0.029313638395
BAAI_bge_large_en_v1.5,hierarchical_section,28,0.701051010395,0.724225221047,384,0,1,0.023174210651
BAAI_bge_large_en_v1.5,semantic_fixed,28,0.689896885189,0.718010915377,320,16,1,0.028114030188
BAAI_bge_large_en_v1.5,semantic_recursive,28,0.694870203136,0.715472592207,448,32,1,0.020602389072
intfloat_e5_small,fixed_token,28,0.685632970871,0.718275429414,384,16,1,0.032642458543
intfloat_e5_small,recursive_token,28,0.698705159979,0.732806151516,320,0,1,0.034100991538
intfloat_e5_small,hierarchical_section,28,0.696819601521,0.720616763335,256,16,1,0.023797161815
intfloat_e5_small,semantic_fixed,28,0.680080191611,0.710938515485,320,16,1,0.030858323874
intfloat_e5_small,semantic_recursive,28,0.684735995516,0.704016017147,320,32,1,0.019280021631
intfloat_e5_base,fixed_token,28,0.706473739292,0.751297767999,512,0,1,0.044824028707
intfloat_e5_base,recursive_token,28,0.714129666298,0.741478492878,384,0,1,0.027348826580
intfloat_e5_base,hierarchical_section,28,0.685191658775,0.702437563631,256,0,1,0.017245904856
intfloat_e5_base,semantic_fixed,28,0.668944711482,0.690740864579,384,48,1,0.021796153098
intfloat_e5_base,semantic_recursive,28,0.664334740114,0.684958179380,256,0,1,0.020623439267
hkunlp_instructor_xl,fixed_token,28,0.675155390805,0.699378845405,448,48,1,0.024223454600
hkunlp_instructor_xl,recursive_token,28,0.685666160657,0.714405137160,448,0,1,0.028738976502
hkunlp_instructor_xl,hierarchical_section,28,0.690250171117,0.718049347329,448,48,1,0.027799176212
hkunlp_instructor_xl,semantic_fixed,28,0.673306095258,0.693772915297,448,48,1,0.020466820039
hkunlp_instructor_xl,semantic_recursive,28,0.689494649300,0.705594139431,448,0,1,0.016099490131
nomic_ai_nomic_embed_text_v1.5,fixed_token,28,0.667458274568,0.691397059294,384,16,1,0.023938784726
nomic_ai_nomic_embed_text_v1.5,recursive_token,28,0.679987306283,0.704220664565,320,0,1,0.024233358281
nomic_ai_nomic_embed_text_v1.5,hierarchical_section,28,0.668533722152,0.685225103524,384,16,1,0.016691381372
nomic_ai_nomic_embed_text_v1.5,semantic_fixed,28,0.654888840229,0.673576561350,320,0,1,0.018687721121
nomic_ai_nomic_embed_text_v1.5,semantic_recursive,28,0.662720113684,0.677318215464,384,0,1,0.014598101780
BAAI_bge_small_en_v1.5,fixed_token,28,0.650607980895,0.699822054025,512,0,1,0.049214073130
BAAI_bge_small_en_v1.5,recursive_token,28,0.663740127149,0.698588994331,512,0,1,0.034848867181
BAAI_bge_small_en_v1.5,hierarchical_section,28,0.662872442703,0.703371081578,384,16,1,0.040498638874
BAAI_bge_small_en_v1.5,semantic_fixed,28,0.642080236658,0.681870774781,448,0,1,0.039790538122
BAAI_bge_small_en_v1.5,semantic_recursive,28,0.654300735084,0.691827066470,512,0,1,0.037526331386
BAAI_bge_base_en_v1.5,fixed_token,28,0.645010686132,0.678066501827,384,16,1,0.033055815696
BAAI_bge_base_en_v1.5,recursive_token,28,0.651832571627,0.670046163410,256,16,1,0.018213591782
BAAI_bge_base_en_v1.5,hierarchical_section,28,0.655118054378,0.679022814418,512,0,1,0.023904760039
BAAI_bge_base_en_v1.5,semantic_fixed,28,0.638833567116,0.661953113747,384,16,1,0.023119546631
BAAI_bge_base_en_v1.5,semantic_recursive,28,0.641288175557,0.658660346840,448,0,1,0.017372171284
