model_short,chunker,token_size,overlap,loss_total,ndcg_at_10,map_at_10,mrr_at_10,recall_at_20,precision_at_1,precision_at_10,loss_decay,loss_rob,cost_norm
nomic ai nomic embed text v1,fixed_token,448,0,0.552972,0.34927,0.23379,0.495464,0.55583,0.33613,0.25525,0.24062118823074408,0.0,1.0
nomic ai nomic embed text v1,fixed_token,448,16,0.556671,0.34512,0.23153,0.501518,0.55117,0.34769,0.25347,0.2709885242601169,0.0,1.0
intfloat e5 base,fixed_token,448,0,0.559826,0.34193,0.22344,0.488412,0.54556,0.32458,0.24811,0.23559677121202782,0.0,1.0
nomic ai nomic embed text v1,fixed_token,448,32,0.565146,0.33253,0.21964,0.479476,0.55163,0.32563,0.24863,0.2364646991984768,0.0,1.0
BAAI bge large en v1.5,fixed_token,448,0,0.565706,0.33359,0.21606,0.477946,0.54796,0.32038,0.2459,0.23247393719957543,0.0,1.0
nomic ai nomic embed text v1,recursive_token,448,16,0.566833,0.33468,0.21985,0.483442,0.54126,0.33088,0.24968,0.24540618955512572,0.032187500000000036,1.0
nomic ai nomic embed text v1.5,fixed_token,448,0,0.567958,0.33278,0.22145,0.476011,0.52672,0.32353,0.24412,0.24544864463882787,0.0,1.0
nomic ai nomic embed text v1,fixed_token,448,48,0.569081,0.32815,0.21314,0.485609,0.53664,0.32143,0.24685,0.23202563544162025,0.0,1.0
intfloat e5 base,fixed_token,448,16,0.569183,0.33206,0.21467,0.485247,0.53738,0.32563,0.24233,0.2558118109510794,0.020324999999999926,1.0
BAAI bge large en v1.5,semantic_fixed,448,0,0.56959,0.33055,0.21263,0.498217,0.52081,0.34559,0.25735,0.2553314621372146,0.0,1.0
nomic ai nomic embed text v1,recursive_token,448,48,0.569826,0.32853,0.21284,0.486715,0.52872,0.32248,0.24653,0.23551848176631107,0.0,1.0
nomic ai nomic embed text v1,recursive_token,448,32,0.569844,0.32861,0.2128,0.482437,0.54248,0.32458,0.24811,0.23559677121202782,0.019809999999999994,1.0
nomic ai nomic embed text v1,recursive_token,448,0,0.57008,0.33377,0.21847,0.484497,0.54248,0.32983,0.25126,0.2382136252008611,0.09514250000000002,1.0
nomic ai nomic embed text v1.5,fixed_token,448,16,0.572233,0.32866,0.21741,0.482215,0.51995,0.33193,0.24013,0.27656433585394513,0.0,1.0
nomic ai nomic embed text v1,fixed_token,448,64,0.572374,0.32376,0.20908,0.473243,0.52759,0.30462,0.24391,0.1992974853916355,0.0,1.0
intfloat e5 base,fixed_token,448,32,0.574091,0.3251,0.20756,0.470991,0.53529,0.30252,0.24307,0.1965159328308872,0.054015000000000035,1.0
BAAI bge large en v1.5,semantic_fixed,448,32,0.574664,0.32502,0.20658,0.506002,0.50813,0.34559,0.25683,0.25683613530484095,0.01620250000000001,1.0
nomic ai nomic embed text v1,hierarchical_section,448,0,0.574936,0.32129,0.20772,0.481571,0.51237,0.31197,0.24674,0.2090906176875983,0.0,1.0
intfloat e5 large,fixed_token,448,0,0.575206,0.32465,0.208,0.467285,0.51909,0.30777,0.23676,0.23072424212886244,0.0,1.0
BAAI bge large en v1.5,fixed_token,448,32,0.575693,0.32081,0.20757,0.474519,0.53632,0.32038,0.23929,0.25310568699669145,0.0,1.0
