model_name,chunker,token_size,overlap,loss_total,ndcg_at_10,map_at_10,mrr_at_10,recall_at_20,precision_at_1,precision_at_10,loss_ndcg,loss_map,loss_mrr,loss_rec,loss_decay,loss_rob,loss_cost,nauc_ndcg_at_10_max,nauc_ndcg_at_10_std,cost_norm,rel_path
nomic_ai_nomic_embed_text_v1,fixed_token,448,0,0.552972,0.349270,0.233790,0.495464,0.555830,0.336130,0.255250,0.650730,0.766210,0.504536,0.444170,0.240621,0.000000,0.000000,0.288601,0.058402,1.000000,nomic_ai_nomic_embed_text_v1_fixed_token_c448_o0/results/nomic-ai__nomic-embed-text-v1_0759316f275aa0cb93a5b830973843ca66babcf5/nomic-ai__nomic-embed-text-v1/0759316f275aa0cb93a5b830973843ca66babcf5
nomic_ai_nomic_embed_text_v1,fixed_token,448,16,0.556671,0.345120,0.231530,0.501518,0.551170,0.347690,0.253470,0.654880,0.768470,0.498482,0.448830,0.270989,0.000000,0.000000,0.235871,0.051300,1.000000,nomic_ai_nomic_embed_text_v1_fixed_token_c448_o16/results/nomic-ai__nomic-embed-text-v1_0759316f275aa0cb93a5b830973843ca66babcf5/nomic-ai__nomic-embed-text-v1/0759316f275aa0cb93a5b830973843ca66babcf5
intfloat_e5_base,fixed_token,448,0,0.559826,0.341930,0.223440,0.488412,0.545560,0.324580,0.248110,0.658070,0.776560,0.511588,0.454440,0.235597,0.000000,0.000000,0.248710,0.060051,1.000000,intfloat_e5_base_fixed_token_c448_o0/results/intfloat__e5-base_b533fe4636f4a2507c08ddab40644d20b0006d6a/intfloat__e5-base/b533fe4636f4a2507c08ddab40644d20b0006d6a
nomic_ai_nomic_embed_text_v1,fixed_token,448,32,0.565146,0.332530,0.219640,0.479476,0.551630,0.325630,0.248630,0.667470,0.780360,0.520524,0.448370,0.236465,0.000000,0.000000,0.246949,0.046460,1.000000,nomic_ai_nomic_embed_text_v1_fixed_token_c448_o32/results/nomic-ai__nomic-embed-text-v1_0759316f275aa0cb93a5b830973843ca66babcf5/nomic-ai__nomic-embed-text-v1/0759316f275aa0cb93a5b830973843ca66babcf5
BAAI_bge_large_en_v1.5,fixed_token,448,0,0.565706,0.333590,0.216060,0.477946,0.547960,0.320380,0.245900,0.666410,0.783940,0.522054,0.452040,0.232474,0.000000,0.000000,0.254131,0.045082,1.000000,BAAI_bge_large_en_v1.5_fixed_token_c448_o0/results/BAAI__bge-large-en-v1.5_d4aa6901d3a41ba39fb536a557fa166f842b0e09/BAAI__bge-large-en-v1.5/d4aa6901d3a41ba39fb536a557fa166f842b0e09
nomic_ai_nomic_embed_text_v1,recursive_token,448,16,0.566833,0.334680,0.219850,0.483442,0.541260,0.330880,0.249680,0.665320,0.780150,0.516558,0.458740,0.245406,0.032188,0.000000,0.210035,0.032945,1.000000,nomic_ai_nomic_embed_text_v1_recursive_token_c448_o16/results/nomic-ai__nomic-embed-text-v1_0759316f275aa0cb93a5b830973843ca66babcf5/nomic-ai__nomic-embed-text-v1/0759316f275aa0cb93a5b830973843ca66babcf5
nomic_ai_nomic_embed_text_v1.5,fixed_token,448,0,0.567958,0.332780,0.221450,0.476011,0.526720,0.323530,0.244120,0.667220,0.778550,0.523989,0.473280,0.245449,0.000000,0.000000,0.302534,0.046176,1.000000,nomic_ai_nomic_embed_text_v1.5_fixed_token_c448_o0/results/nomic-ai__nomic-embed-text-v1.5_b0753ae76394dd36bcfb912a46018088bca48be0/nomic-ai__nomic-embed-text-v1.5/b0753ae76394dd36bcfb912a46018088bca48be0
nomic_ai_nomic_embed_text_v1,fixed_token,448,48,0.569081,0.328150,0.213140,0.485609,0.536640,0.321430,0.246850,0.671850,0.786860,0.514391,0.463360,0.232026,0.000000,0.000000,0.258742,0.025636,1.000000,nomic_ai_nomic_embed_text_v1_fixed_token_c448_o48/results/nomic-ai__nomic-embed-text-v1_0759316f275aa0cb93a5b830973843ca66babcf5/nomic-ai__nomic-embed-text-v1/0759316f275aa0cb93a5b830973843ca66babcf5
intfloat_e5_base,fixed_token,448,16,0.569183,0.332060,0.214670,0.485247,0.537380,0.325630,0.242330,0.667940,0.785330,0.514753,0.462620,0.255812,0.020325,0.000000,0.219152,0.046434,1.000000,intfloat_e5_base_fixed_token_c448_o16/results/intfloat__e5-base_b533fe4636f4a2507c08ddab40644d20b0006d6a/intfloat__e5-base/b533fe4636f4a2507c08ddab40644d20b0006d6a
BAAI_bge_large_en_v1.5,semantic_fixed,448,0,0.569590,0.330550,0.212630,0.498217,0.520810,0.345590,0.257350,0.669450,0.787370,0.501783,0.479190,0.255331,0.000000,0.000000,0.228811,0.027541,1.000000,BAAI_bge_large_en_v1.5_semantic_fixed_c448_o0/results/BAAI__bge-large-en-v1.5_d4aa6901d3a41ba39fb536a557fa166f842b0e09/BAAI__bge-large-en-v1.5/d4aa6901d3a41ba39fb536a557fa166f842b0e09
nomic_ai_nomic_embed_text_v1,recursive_token,448,48,0.569826,0.328530,0.212840,0.486715,0.528720,0.322480,0.246530,0.671470,0.787160,0.513285,0.471280,0.235519,0.000000,0.000000,0.220156,0.032552,1.000000,nomic_ai_nomic_embed_text_v1_recursive_token_c448_o48/results/nomic-ai__nomic-embed-text-v1_0759316f275aa0cb93a5b830973843ca66babcf5/nomic-ai__nomic-embed-text-v1/0759316f275aa0cb93a5b830973843ca66babcf5
nomic_ai_nomic_embed_text_v1,recursive_token,448,32,0.569844,0.328610,0.212800,0.482437,0.542480,0.324580,0.248110,0.671390,0.787200,0.517563,0.457520,0.235597,0.019810,0.000000,0.212736,0.033396,1.000000,nomic_ai_nomic_embed_text_v1_recursive_token_c448_o32/results/nomic-ai__nomic-embed-text-v1_0759316f275aa0cb93a5b830973843ca66babcf5/nomic-ai__nomic-embed-text-v1/0759316f275aa0cb93a5b830973843ca66babcf5
nomic_ai_nomic_embed_text_v1,recursive_token,448,0,0.570080,0.333770,0.218470,0.484497,0.542480,0.329830,0.251260,0.666230,0.781530,0.515503,0.457520,0.238214,0.095143,0.000000,0.190426,0.018909,1.000000,nomic_ai_nomic_embed_text_v1_recursive_token_c448_o0/results/nomic-ai__nomic-embed-text-v1_0759316f275aa0cb93a5b830973843ca66babcf5/nomic-ai__nomic-embed-text-v1/0759316f275aa0cb93a5b830973843ca66babcf5
nomic_ai_nomic_embed_text_v1.5,fixed_token,448,16,0.572233,0.328660,0.217410,0.482215,0.519950,0.331930,0.240130,0.671340,0.782590,0.517785,0.480050,0.276564,0.000000,0.000000,0.246996,0.037338,1.000000,nomic_ai_nomic_embed_text_v1.5_fixed_token_c448_o16/results/nomic-ai__nomic-embed-text-v1.5_b0753ae76394dd36bcfb912a46018088bca48be0/nomic-ai__nomic-embed-text-v1.5/b0753ae76394dd36bcfb912a46018088bca48be0
nomic_ai_nomic_embed_text_v1,fixed_token,448,64,0.572374,0.323760,0.209080,0.473243,0.527590,0.304620,0.243910,0.676240,0.790920,0.526757,0.472410,0.199298,0.000000,0.000000,0.237185,0.029225,1.000000,nomic_ai_nomic_embed_text_v1_fixed_token_c448_o64/results/nomic-ai__nomic-embed-text-v1_0759316f275aa0cb93a5b830973843ca66babcf5/nomic-ai__nomic-embed-text-v1/0759316f275aa0cb93a5b830973843ca66babcf5
intfloat_e5_base,fixed_token,448,32,0.574091,0.325100,0.207560,0.470991,0.535290,0.302520,0.243070,0.674900,0.792440,0.529009,0.464710,0.196516,0.054015,0.000000,0.222397,0.066400,1.000000,intfloat_e5_base_fixed_token_c448_o32/results/intfloat__e5-base_b533fe4636f4a2507c08ddab40644d20b0006d6a/intfloat__e5-base/b533fe4636f4a2507c08ddab40644d20b0006d6a
BAAI_bge_large_en_v1.5,semantic_fixed,448,32,0.574664,0.325020,0.206580,0.506002,0.508130,0.345590,0.256830,0.674980,0.793420,0.493998,0.491870,0.256836,0.016203,0.000000,0.200974,0.008429,1.000000,BAAI_bge_large_en_v1.5_semantic_fixed_c448_o32/results/BAAI__bge-large-en-v1.5_d4aa6901d3a41ba39fb536a557fa166f842b0e09/BAAI__bge-large-en-v1.5/d4aa6901d3a41ba39fb536a557fa166f842b0e09
nomic_ai_nomic_embed_text_v1,hierarchical_section,448,0,0.574936,0.321290,0.207720,0.481571,0.512370,0.311970,0.246740,0.678710,0.792280,0.518429,0.487630,0.209091,0.000000,0.000000,0.221523,0.027648,1.000000,nomic_ai_nomic_embed_text_v1_hierarchical_section_c448_o0/results/nomic-ai__nomic-embed-text-v1_0759316f275aa0cb93a5b830973843ca66babcf5/nomic-ai__nomic-embed-text-v1/0759316f275aa0cb93a5b830973843ca66babcf5
intfloat_e5_large,fixed_token,448,0,0.575206,0.324650,0.208000,0.467285,0.519090,0.307770,0.236760,0.675350,0.792000,0.532715,0.480910,0.230724,0.000000,0.000000,0.278238,0.039891,1.000000,intfloat_e5_large_fixed_token_c448_o0/results/intfloat__e5-large_4dc6d853a804b9c8886ede6dda8a073b7dc08a81/intfloat__e5-large/4dc6d853a804b9c8886ede6dda8a073b7dc08a81
BAAI_bge_large_en_v1.5,fixed_token,448,32,0.575693,0.320810,0.207570,0.474519,0.536320,0.320380,0.239290,0.679190,0.792430,0.525481,0.463680,0.253106,0.000000,0.000000,0.228247,0.037490,1.000000,BAAI_bge_large_en_v1.5_fixed_token_c448_o32/results/BAAI__bge-large-en-v1.5_d4aa6901d3a41ba39fb536a557fa166f842b0e09/BAAI__bge-large-en-v1.5/d4aa6901d3a41ba39fb536a557fa166f842b0e09
BAAI_bge_large_en_v1.5,fixed_token,448,16,0.575834,0.324230,0.211690,0.477480,0.538750,0.324580,0.235190,0.675770,0.788310,0.522520,0.461250,0.275402,0.038578,0.000000,0.216914,0.049259,1.000000,BAAI_bge_large_en_v1.5_fixed_token_c448_o16/results/BAAI__bge-large-en-v1.5_d4aa6901d3a41ba39fb536a557fa166f842b0e09/BAAI__bge-large-en-v1.5/d4aa6901d3a41ba39fb536a557fa166f842b0e09
intfloat_e5_base,fixed_token,448,64,0.576062,0.323150,0.207190,0.483778,0.519630,0.322480,0.236970,0.676850,0.792810,0.516222,0.480370,0.265164,0.000000,0.000000,0.239405,0.040577,1.000000,intfloat_e5_base_fixed_token_c448_o64/results/intfloat__e5-base_b533fe4636f4a2507c08ddab40644d20b0006d6a/intfloat__e5-base/b533fe4636f4a2507c08ddab40644d20b0006d6a
intfloat_e5_base,recursive_token,448,16,0.576365,0.319300,0.204000,0.465457,0.534760,0.301470,0.235920,0.680700,0.796000,0.534543,0.465240,0.217435,0.000000,0.000000,0.228158,0.044025,1.000000,intfloat_e5_base_recursive_token_c448_o16/results/intfloat__e5-base_b533fe4636f4a2507c08ddab40644d20b0006d6a/intfloat__e5-base/b533fe4636f4a2507c08ddab40644d20b0006d6a
intfloat_e5_base,recursive_token,448,0,0.576727,0.320860,0.205630,0.464546,0.527220,0.297270,0.240440,0.679140,0.794370,0.535454,0.472780,0.191173,0.037162,0.000000,0.210072,0.035009,1.000000,intfloat_e5_base_recursive_token_c448_o0/results/intfloat__e5-base_b533fe4636f4a2507c08ddab40644d20b0006d6a/intfloat__e5-base/b533fe4636f4a2507c08ddab40644d20b0006d6a
intfloat_e5_large,fixed_token,448,16,0.576876,0.320790,0.204940,0.471837,0.523090,0.303570,0.232460,0.679210,0.795060,0.528163,0.476910,0.234246,0.000000,0.000000,0.265220,0.047803,1.000000,intfloat_e5_large_fixed_token_c448_o16/results/intfloat__e5-large_4dc6d853a804b9c8886ede6dda8a073b7dc08a81/intfloat__e5-large/4dc6d853a804b9c8886ede6dda8a073b7dc08a81
nomic_ai_nomic_embed_text_v1,recursive_token,448,64,0.577001,0.318230,0.206250,0.468161,0.529570,0.307770,0.238660,0.681770,0.793750,0.531839,0.470430,0.224551,0.000000,0.000000,0.241008,0.045496,1.000000,nomic_ai_nomic_embed_text_v1_recursive_token_c448_o64/results/nomic-ai__nomic-embed-text-v1_0759316f275aa0cb93a5b830973843ca66babcf5/nomic-ai__nomic-embed-text-v1/0759316f275aa0cb93a5b830973843ca66babcf5
intfloat_e5_base,fixed_token,448,48,0.577041,0.321940,0.204800,0.481842,0.525500,0.321430,0.240340,0.678060,0.795200,0.518158,0.474500,0.252279,0.019878,0.000000,0.209008,0.025967,1.000000,intfloat_e5_base_fixed_token_c448_o48/results/intfloat__e5-base_b533fe4636f4a2507c08ddab40644d20b0006d6a/intfloat__e5-base/b533fe4636f4a2507c08ddab40644d20b0006d6a
intfloat_e5_large,recursive_token,448,16,0.577275,0.319430,0.202440,0.464180,0.522890,0.296220,0.235710,0.680570,0.797560,0.535820,0.477110,0.204274,0.000000,0.000000,0.223389,0.041950,1.000000,intfloat_e5_large_recursive_token_c448_o16/results/intfloat__e5-large_4dc6d853a804b9c8886ede6dda8a073b7dc08a81/intfloat__e5-large/4dc6d853a804b9c8886ede6dda8a073b7dc08a81
BAAI_bge_large_en_v1.5,hierarchical_section,448,0,0.578721,0.318050,0.204620,0.482651,0.519020,0.322480,0.243700,0.681950,0.795380,0.517349,0.480980,0.244294,0.014405,0.000000,0.199433,-0.004628,1.000000,BAAI_bge_large_en_v1.5_hierarchical_section_c448_o0/results/BAAI__bge-large-en-v1.5_d4aa6901d3a41ba39fb536a557fa166f842b0e09/BAAI__bge-large-en-v1.5/d4aa6901d3a41ba39fb536a557fa166f842b0e09
BAAI_bge_large_en_v1.5,semantic_fixed,448,16,0.578936,0.321750,0.206350,0.493281,0.509110,0.338240,0.251370,0.678250,0.793650,0.506719,0.490890,0.256829,0.047815,0.000000,0.197638,0.014402,1.000000,BAAI_bge_large_en_v1.5_semantic_fixed_c448_o16/results/BAAI__bge-large-en-v1.5_d4aa6901d3a41ba39fb536a557fa166f842b0e09/BAAI__bge-large-en-v1.5/d4aa6901d3a41ba39fb536a557fa166f842b0e09
